ID,First Name,Last Name,Position,Worth,Source,Age,Unnamed: 0,Gender,Country,Image
6228,Lin,Lin,1090.0,2.3 BUSD,Finance and Investments  ==> investments,55 years old,1141,M,None,https://specials-images.forbesimg.com/imageserve/58c338ac4bbe6f0e55885d28/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
3532,Kenneth,Lo,1091.0,2.3 BUSD,Finance and Investments  ==> textiles,79 years old,1142,M,None,https://specials-images.forbesimg.com/imageserve/488211fe194aaed20856f45fa49dde17/416x416.jpg?background=000000&cropX1=42&cropX2=615&cropY1=73&cropY2=647
6714,Alexander,Machkevich,1092.0,2.3 BUSD,"Metals & Mining  ==> mining, metals",64 years old,1143,M,Israel,https://specials-images.forbesimg.com/imageserve/5a7f7a2931358e4955ad1d10/416x416.jpg?background=000000&cropX1=880&cropX2=3526&cropY1=6&cropY2=2650
3202,Clayton,Mathile,1093.0,2.3 BUSD,Food and Beverage  ==> pet food,77 years old,1144,None,USA,https://specials-images.forbesimg.com/imageserve/6baeba7b35427c8c258c195dd674a0f7/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=37&cropY2=781
3192,Stanley,Perron,1094.0,2.3 BUSD,"Real Estate  ==> real estate, retail",95 years old,1145,Male,None,https://specials-images.forbesimg.com/imageserve/59f746ada7ea436b47b488f3/416x416.jpg?background=000000&cropX1=570&cropX2=3215&cropY1=11&cropY2=2658
5381,J.,Ricketts,1095.0,2.3 BUSD,Finance and Investments  ==> TD Ameritrade,76 years old,1146,Male,United States,https://specials-images.forbesimg.com/imageserve/5601b0d6e4b0ffa7afe4f3b6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=61&cropY2=805
4292,Dirk,Rossmann,1096.0,2.3 BUSD,Fashion & Retail  ==> drugstores,71 years old,1147,Male,None,https://specials-images.forbesimg.com/imageserve/5a7e0f93a7ea431690131f59/416x416.jpg?background=000000&cropX1=6&cropX2=2740&cropY1=6&cropY2=2743
8620,Filiz,Sahenk,1097.0,2.3 BUSD,Diversified  ==> diversified,51 years old,1148,F,None,https://specials-images.forbesimg.com/imageserve/5a70dd074bbe6f2652f40843/416x416.jpg?background=000000&cropX1=101&cropX2=1676&cropY1=0&cropY2=1577
9916,Dan,Snyder,1098.0,2.3 BUSD,Sports  ==> Washington Redskins,53 years old,1149,None,None,https://specials-images.forbesimg.com/imageserve/5a8dfbb4a7ea431690141073/416x416.jpg?background=000000&cropX1=231&cropX2=1779&cropY1=168&cropY2=1716
1724,Peter,Spuhler,1099.0,2.3 BUSD,Manufacturing  ==> train cars,58 years old,1150,M,Switzerland,https://specials-images.forbesimg.com/imageserve/5a85ef7ca7ea431690139eb6/416x416.jpg?background=000000&cropX1=273&cropX2=1396&cropY1=401&cropY2=1525
1645,Tang,Tang,1100.0,2.3 BUSD,Fashion & Retail  ==> fashion retail,84 years old,1151,M,None,https://specials-images.forbesimg.com/imageserve/ee23fdb58f29cd8fe57e874e89eea4ff/416x416.jpg?background=000000&cropX1=35&cropX2=678&cropY1=124&cropY2=767
5312,John,Tyson,1101.0,2.3 BUSD,Food and Beverage  ==> food processing,64 years old,1152,M,None,https://specials-images.forbesimg.com/imageserve/a0e8dcd55a90fd107542753485c116c1/416x416.jpg?background=000000&cropX1=100&cropX2=639&cropY1=27&cropY2=567
1474,Wong,Wong,1102.0,2.3 BUSD,Manufacturing  ==> furniture,53 years old,1153,M,Hong Kong,https://specials-images.forbesimg.com/imageserve/0496cb8be3f7b612e9e536e97daaa2fd/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768
9734,Lia,Aguiar,1103.0,2.2 BUSD,Finance and Investments  ==> banking,80 years old,1154,None,None,https://specials-images.forbesimg.com/imageserve/5a7b8ca54bbe6f2652f4f0ad/416x416.jpg?background=000000&cropX1=2101&cropX2=3749&cropY1=1188&cropY2=2836
4392,Aziz,Akhannouch,1104.0,2.2 BUSD,"Diversified  ==> petroleum, diversified",57 years old,1155,Male,None,https://specials-images.forbesimg.com/imageserve/5a7fd2694bbe6f2652f536c4/416x416.jpg?background=000000&cropX1=238&cropX2=2345&cropY1=5&cropY2=2114
4846,Ron,Baron,1105.0,2.2 BUSD,Finance and Investments  ==> money management,75 years old,1156,M,United States,https://specials-images.forbesimg.com/imageserve/988a2396e97fe1c950b4a8a983f17c8d/416x416.jpg?background=000000&cropX1=64&cropX2=623&cropY1=2&cropY2=561
8225,Shyam,Bhartia,1106.0,2.2 BUSD,Diversified  ==> Diversified,65 years old,1157,Male,India,https://specials-images.forbesimg.com/imageserve/55f78925e4b0ffa7afe494ac/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=45&cropY2=788
1231,Timothy,Boyle,1107.0,2.2 BUSD,Fashion & Retail  ==> Columbia Sportswear,68 years old,1158,None,United States,https://specials-images.forbesimg.com/imageserve/5a8dfe9c4bbe6f2652f62d5b/416x416.jpg?background=000000&cropX1=934&cropX2=3445&cropY1=814&cropY2=3325
7470,Tatiana,Casiraghi,1108.0,2.2 BUSD,Food and Beverage  ==> beer,1985,1159,Female,None,https://specials-images.forbesimg.com/imageserve/5a7fd156a7ea4316901331b3/416x416.jpg?background=000000&cropX1=4&cropX2=1489&cropY1=37&cropY2=1522
9279,Chan,Chan,1109.0,2.2 BUSD,Real Estate  ==> real estate,,1160,F,None,https://specials-images.forbesimg.com/imageserve/5a7fd156a7ea4316901331b3/416x416.jpg?background=000000&cropX1=4&cropX2=1489&cropY1=37&cropY2=1522
4570,Chase,Coleman,1110.0,2.2 BUSD,Finance and Investments  ==> hedge fund,43 years old,1161,M,United States,https://specials-images.forbesimg.com/imageserve/59d6653f31358e542c035e9c/416x416.jpg?background=000000&cropX1=1057&cropX2=2137&cropY1=315&cropY2=1396
8173,Mark,Coombs,1111.0,2.2 BUSD,Finance and Investments  ==> finance,57 years old,1162,M,United Kingdom,https://specials-images.forbesimg.com/imageserve/59d6653f31358e542c035e9c/416x416.jpg?background=000000&cropX1=1057&cropX2=2137&cropY1=315&cropY2=1396
8116,James,Coulter,1112.0,2.2 BUSD,Finance and Investments  ==> private equity,58 years old,1163,M,None,https://specials-images.forbesimg.com/imageserve/59de48ea31358e542c039b77/416x416.jpg?background=000000&cropX1=280&cropX2=2949&cropY1=0&cropY2=2667
3562,Dulce,De godoy bueno,1113.0,2.2 BUSD,"Healthcare  ==> hospitals, health care",70 years old,1164,None,None,https://specials-images.forbesimg.com/imageserve/59de48ea31358e542c039b77/416x416.jpg?background=000000&cropX1=280&cropX2=2949&cropY1=0&cropY2=2667
3503,Ana,De mattos barretto villela,1114.0,2.2 BUSD,Finance and Investments  ==> banking,44 years old,1165,None,None,https://specials-images.forbesimg.com/imageserve/58a0f2e44bbe6f0e55869e21/416x416.jpg?background=000000&cropX1=196&cropX2=510&cropY1=358&cropY2=672
5020,Frank,Fertitta,1115.0,2.2 BUSD,"Sports  ==> casinos, mixed martial arts",56 years old,1166,None,None,https://specials-images.forbesimg.com/imageserve/5f23069c31349e16f7c04304d5568c42/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=61&cropY2=661
4008,Lorenzo,Fertitta,1116.0,2.2 BUSD,"Sports  ==> casinos, mixed martial arts",49 years old,1167,Male,None,https://specials-images.forbesimg.com/imageserve/59de7ce24bbe6f37dda0590f/416x416.jpg?background=000000&cropX1=2081&cropX2=3821&cropY1=148&cropY2=1887
2812,Maria,Fissolo,1117.0,2.2 BUSD,"Food and Beverage  ==> Nutella, chocolates",83 years old,1168,F,None,https://specials-images.forbesimg.com/imageserve/589f9d9fa7ea431f32194ceb/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=187&cropY2=873
1265,Alexander,Frolov,1118.0,2.2 BUSD,"Metals & Mining  ==> mining, steel",54 years old,1169,M,None,https://specials-images.forbesimg.com/imageserve/56cbf04fe4b062f6b59a4d8e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=66&cropY2=809
6205,Ernest,Garcia,1119.0,2.2 BUSD,Automotive  ==> used cars,61 years old,1170,None,United States,https://specials-images.forbesimg.com/imageserve/56cbf04fe4b062f6b59a4d8e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=66&cropY2=809
