Position,First Name,Last Name,Age,Worth,Gender_cat,Source,Country,Image
45,Leonardo,Del vecchio,83,21.2 BUSD,Male,Fashion & Retail  ==> eyeglasses,Italy,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
46,Dieter,Schwarz,78,20.9 BUSD,Male,Fashion & Retail  ==> retail,Germany,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
47,Thomas,Peterffy,73,20.3 BUSD,Male,Finance and Investments  ==> discount brokerage,United States,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
48,Theo,Albrecht,67,20.2 BUSD,Not Available,"Fashion & Retail  ==> Aldi, Trader Joe's",Germany,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
49,Len,Blavatnik,61,20.2 BUSD,Not Available,Diversified  ==> diversified,United States,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299
50,He,He,75,20.1 BUSD,Male,Manufacturing  ==> home appliances,China,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404
51,Lui,Lui,89,20.1 BUSD,Male,Gambling & Casinos  ==> casinos,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168
52,James,Simons,80,20.0 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190
53,Henry,Sy,93,20.0 BUSD,Male,Diversified  ==> diversified,Philippines,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647
54,Elon,Musk,46,19.9 BUSD,Not Available,Automotive  ==> Tesla Motors,USA,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159
55,Hinduja,Hinduja,0,19.5 BUSD,Male,Diversified  ==> diversified,United Kingdom,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165
56,Tadashi,Yanai,69,19.5 BUSD,Not Available,Fashion & Retail  ==> fashion retail,Japan,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501
57,Vladimir,Lisin,62,19.1 BUSD,Male,"Metals & Mining  ==> steel, transport",Russia,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012
58,Laurene,Powell jobs,54,18.8 BUSD,Female,"Philanthropy/NGO  ==> Apple, Disney",United States,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333
59,Azim,Premji,72,18.8 BUSD,Male,Technology  ==> software services,India,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592
60,Alexey,Mordashov,52,18.7 BUSD,Male,"Metals & Mining  ==> steel, investments",Russia,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667
61,Lee,Lee,76,18.6 BUSD,Male,Diversified  ==> Samsung,South Korea,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737
