Position,First Name,Last Name,Age,Worth,Gender_cat,Source,Country,Image
461,Jeremy,Jacobs,78,4.6 BUSD,Male,Service  ==> concessions,United States,https://specials-images.forbesimg.com/imageserve/5a8dd527a7ea431690140b09/416x416.jpg?background=000000&cropX1=0&cropX2=2173&cropY1=386&cropY2=2559
462,Chris,Larsen,58,4.6 BUSD,Not Available,Finance and Investments  ==> cryptocurrency,United States,https://specials-images.forbesimg.com/imageserve/5a8dd527a7ea431690140b09/416x416.jpg?background=000000&cropX1=0&cropX2=2173&cropY1=386&cropY2=2559
463,Patrick,Lee,76,4.6 BUSD,Not Available,Manufacturing  ==> paper,Hong Kong,https://specials-images.forbesimg.com/imageserve/e24f0d9158264ab6398b101f3749b091/416x416.jpg?background=000000&cropX1=66&cropX2=744&cropY1=76&cropY2=754
464,Liang,Liang,61,4.6 BUSD,Male,Manufacturing  ==> construction equipment,China,https://specials-images.forbesimg.com/imageserve/561fad16e4b0ffa7afe5e1bf/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=82&cropY2=822
465,Denis,O'brien,60,4.6 BUSD,Not Available,Telecom  ==> telecom,Ireland,https://specials-images.forbesimg.com/imageserve/5a7f76684bbe6f2652f5329d/416x416.jpg?background=000000&cropX1=530&cropX2=2995&cropY1=10&cropY2=2477
466,Kapil,Bhatia,0,4.5 BUSD,Male,Service  ==> airlines,India,https://specials-images.forbesimg.com/imageserve/55f77d16e4b0ffa7afe49443/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=224&cropY2=968
467,Jean-pierre,Cayard,75,4.5 BUSD,Male,Food and Beverage  ==> spirits,France,https://specials-images.forbesimg.com/imageserve/58c71f63a7ea431f321b0e85/416x416.jpg?background=000000&cropX1=101&cropX2=742&cropY1=73&cropY2=714
468,Chey,Chey,57,4.5 BUSD,Male,"Telecom  ==> IT, telecom",South Korea,https://specials-images.forbesimg.com/imageserve/5b15a4774bbe6f74868b8fd9/416x416.jpg?background=000000&cropX1=3&cropX2=1362&cropY1=0&cropY2=1360
469,Fang,Fang,44,4.5 BUSD,Male,Manufacturing  ==> steel,China,https://specials-images.forbesimg.com/imageserve/5a7cafb031358e4955acf666/416x416.jpg?background=000000&cropX1=1260&cropX2=4999&cropY1=8&cropY2=3744
470,Andrei,Guriev,58,4.5 BUSD,Male,Manufacturing  ==> fertilizers,Russia,https://specials-images.forbesimg.com/imageserve/8f717dbb5da19b397ed4670d344be3dc/416x416.jpg?background=000000&cropX1=19&cropX2=744&cropY1=6&cropY2=731
471,Bertil,Hult,77,4.5 BUSD,Male,Service  ==> education,Sweden,https://specials-images.forbesimg.com/imageserve/58a2844531358e1a35ab53ff/416x416.jpg?background=000000&cropX1=208&cropX2=688&cropY1=81&cropY2=561
472,Ji,Ji,50,4.5 BUSD,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/58a2844531358e1a35ab53ff/416x416.jpg?background=000000&cropX1=208&cropX2=688&cropY1=81&cropY2=561
473,Paul,Jones,63,4.5 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/59d7c9a8a7ea436b47b389b8/416x416.jpg?background=000000&cropX1=284&cropX2=604&cropY1=286&cropY2=606
474,Robert,Miller,85,4.5 BUSD,Male,Fashion & Retail  ==> retail,United Kingdom,https://specials-images.forbesimg.com/imageserve/58a0e48da7ea431f32195afa/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=216&cropY2=960
475,Sergei,Popov,46,4.5 BUSD,Male,Finance and Investments  ==> banking,Russia,https://specials-images.forbesimg.com/imageserve/58a398fda7ea431f32198651/416x416.jpg?background=000000&cropX1=0&cropX2=639&cropY1=2&cropY2=642
476,Juan,Roig,68,4.5 BUSD,Male,Fashion & Retail  ==> supermarkets,Spain,https://specials-images.forbesimg.com/imageserve/5a8113674bbe6f2652f544de/416x416.jpg?background=000000&cropX1=750&cropX2=2447&cropY1=219&cropY2=1917
477,John,Sall,70,4.5 BUSD,Male,Technology  ==> software,United States,https:http://specials-images.forbesimg.com/imageserve/1b5f05362e07e6167bd725cc03bc8494/416x416.jpg?background=000000&cropX1=0&cropX2=1050&cropY1=158&cropY2=1209
478,Leonard,Stern,80,4.5 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/100d13fa2eecf478f9d1dce37f2f34c5/416x416.jpg?background=000000&cropX1=18&cropX2=675&cropY1=64&cropY2=721
479,Ye,Ye,74,4.5 BUSD,Male,Healthcare  ==> pharmaceuticals,Hong Kong,https://specials-images.forbesimg.com/imageserve/f4143f928bec51caf481ad44beb7d878/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=140&cropY2=881
480,Anthony,Bamford,72,4.4 BUSD,Male,Construction & Engineering  ==> construction equipment,United Kingdom,https://specials-images.forbesimg.com/imageserve/5a81544c4bbe6f2652f547b4/416x416.jpg?background=000000&cropX1=424&cropX2=1902&cropY1=438&cropY2=1917
481,Chu,Chu,58,4.4 BUSD,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/33f3416ee4f4e17cb8ea4cf680b1179c/416x416.jpg?background=000000&cropX1=0&cropX2=688&cropY1=3&cropY2=691
482,Juan,Escotet,58,4.4 BUSD,Male,Finance and Investments  ==> banking,Venezuela,https://specials-images.forbesimg.com/imageserve/56cc6f81e4b062f6b59a5171/416x416.jpg?background=000000&cropX1=3&cropX2=718&cropY1=0&cropY2=715
483,Miguel,Fluxa rossello,79,4.4 BUSD,Male,Service  ==> hotels,Spain,https://specials-images.forbesimg.com/imageserve/58a65d5ea7ea431f3219ae3f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=177&cropY2=921
484,Andrew,Forrest,56,4.4 BUSD,Not Available,Metals & Mining  ==> mining,Australia,https://specials-images.forbesimg.com/imageserve/5a7a3c9331358e4955acc63d/416x416.jpg?background=000000&cropX1=1929&cropX2=4914&cropY1=0&cropY2=2984
485,Paul,Gauselmann,83,4.4 BUSD,Male,Gambling & Casinos  ==> gambling,Germany,https://specials-images.forbesimg.com/imageserve/5a7e366831358e4955ad128e/416x416.jpg?background=000000&cropX1=312&cropX2=2373&cropY1=326&cropY2=2388
486,Tamara,Gustavson,56,4.4 BUSD,Not Available,Service  ==> self storage,United States,https://specials-images.forbesimg.com/imageserve/5a7e366831358e4955ad128e/416x416.jpg?background=000000&cropX1=312&cropX2=2373&cropY1=326&cropY2=2388
487,Micky,Jagtiani,66,4.4 BUSD,Male,Fashion & Retail  ==> retail,India,https://specials-images.forbesimg.com/imageserve/59cc0a1e31358e542c02fa0b/416x416.jpg?background=000000&cropX1=246&cropX2=747&cropY1=1&cropY2=502
488,Johan,Johannson,51,4.4 BUSD,Male,Fashion & Retail  ==> grocery stores,Norway,https://specials-images.forbesimg.com/imageserve/58a38de731358e1a35ab63f5/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791
489,Richard,Li,51,4.4 BUSD,Male,Telecom  ==> telecom,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a57a469a7ea431690109d2b/416x416.jpg?background=000000&cropX1=1549&cropX2=3240&cropY1=977&cropY2=2667
490,John,Morris,70,4.4 BUSD,Male,Fashion & Retail  ==> sporting goods retail,United States,https://specials-images.forbesimg.com/imageserve/59d7f5c5a7ea436b47b38bd1/416x416.jpg?background=000000&cropX1=549&cropX2=1262&cropY1=117&cropY2=830
491,Theo,Mueller,78,4.4 BUSD,Not Available,Food and Beverage  ==> dairy,Germany,https://specials-images.forbesimg.com/imageserve/56c9c404e4b062f6b59a2a66/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
492,Akio,Nitori,74,4.4 BUSD,Male,Fashion & Retail  ==> home furnishings,Japan,https://specials-images.forbesimg.com/imageserve/5ac250e1a7ea432fbc1dc878/416x416.jpg?background=000000&cropX1=1114&cropX2=3777&cropY1=0&cropY2=2662
493,Wolfgang,Reimann,65,4.4 BUSD,Male,Fashion & Retail  ==> consumer goods,Germany,https://specials-images.forbesimg.com/imageserve/5ac250e1a7ea432fbc1dc878/416x416.jpg?background=000000&cropX1=1114&cropX2=3777&cropY1=0&cropY2=2662
494,Matthias,Reimann-andersen,53,4.4 BUSD,Male,Fashion & Retail  ==> consumer goods,Germany,https://specials-images.forbesimg.com/imageserve/5ac250e1a7ea432fbc1dc878/416x416.jpg?background=000000&cropX1=1114&cropX2=3777&cropY1=0&cropY2=2662
495,Stefan,Reimann-andersen,54,4.4 BUSD,Male,Fashion & Retail  ==> consumer goods,Germany,https://specials-images.forbesimg.com/imageserve/5ac250e1a7ea432fbc1dc878/416x416.jpg?background=000000&cropX1=1114&cropX2=3777&cropY1=0&cropY2=2662
496,Renate,Reimann-haas,66,4.4 BUSD,Female,Fashion & Retail  ==> consumer goods,Germany,https://specials-images.forbesimg.com/imageserve/5ac250e1a7ea432fbc1dc878/416x416.jpg?background=000000&cropX1=1114&cropX2=3777&cropY1=0&cropY2=2662
497,Robert,Smith,55,4.4 BUSD,Male,Finance and Investments  ==> private equity,United States,https://specials-images.forbesimg.com/imageserve/59dbe7574bbe6f37dda037a5/416x416.jpg?background=000000&cropX1=1126&cropX2=2783&cropY1=120&cropY2=1776
498,Russ,Weiner,48,4.4 BUSD,Male,Food and Beverage  ==> energy drinks,United States,https://specials-images.forbesimg.com/imageserve/59d7e37131358e542c036d89/416x416.jpg?background=000000&cropX1=1620&cropX2=3823&cropY1=831&cropY2=3034
499,Jeronimo,Arango,92,4.3 BUSD,Male,Fashion & Retail  ==> retail,Mexico,https://specials-images.forbesimg.com/imageserve/59d7e37131358e542c036d89/416x416.jpg?background=000000&cropX1=1620&cropX2=3823&cropY1=831&cropY2=3034
500,Rahul,Bajaj,80,4.3 BUSD,Male,Automotive  ==> motorcycles,India,https://specials-images.forbesimg.com/imageserve/5a7f4513a7ea431690132ad1/416x416.jpg?background=000000&cropX1=882&cropX2=2669&cropY1=284&cropY2=2072
501,Rainer,Blickle,70,4.3 BUSD,Male,Manufacturing  ==> auto parts,Germany,https://specials-images.forbesimg.com/imageserve/250c3eea55c826ca89f092951d0882b3/416x416.jpg?background=000000&cropX1=55&cropX2=680&cropY1=256&cropY2=881
502,Rocco,Commisso,68,4.3 BUSD,Male,Telecom  ==> telecom,United States,https://specials-images.forbesimg.com/imageserve/59ea2558a7ea436b47b42175/416x416.jpg?background=000000&cropX1=124&cropX2=1295&cropY1=75&cropY2=1245
503,Giuseppe,De'longhi,79,4.3 BUSD,Male,Fashion & Retail  ==> coffee makers,Italy,https://specials-images.forbesimg.com/imageserve/59ea2558a7ea436b47b42175/416x416.jpg?background=000000&cropX1=124&cropX2=1295&cropY1=75&cropY2=1245
504,Tilman,Fertitta,60,4.3 BUSD,Not Available,"Food and Beverage  ==> Houston Rockets, entertainment",United States,https://specials-images.forbesimg.com/imageserve/59dbd838a7ea436b47b39d0f/416x416.jpg?background=000000&cropX1=2976&cropX2=4431&cropY1=848&cropY2=2303
505,Nathan,Kirsh,86,4.3 BUSD,Male,"Fashion & Retail  ==> retail, real estate",Swaziland,https://specials-images.forbesimg.com/imageserve/5a8118d14bbe6f2652f54533/416x416.jpg?background=000000&cropX1=839&cropX2=2666&cropY1=966&cropY2=2795
506,Terrence,Pegula,67,4.3 BUSD,Male,Energy  ==> natural gas,United States,https://specials-images.forbesimg.com/imageserve/5a8dd70b31358e4955adfb2a/416x416.jpg?background=000000&cropX1=876&cropX2=4433&cropY1=94&cropY2=3648
507,Robert,Pera,40,4.3 BUSD,Male,Technology  ==> wireless networking gear,United States,https://specials-images.forbesimg.com/imageserve/59dbea1c31358e542c038325/416x416.jpg?background=000000&cropX1=729&cropX2=2443&cropY1=353&cropY2=2068
508,Gary,Rollins,73,4.3 BUSD,Male,Service  ==> pest control,United States,https://specials-images.forbesimg.com/imageserve/57e11eb8a7ea430a8a1a0944/416x416.jpg?background=000000&cropX1=188&cropX2=652&cropY1=114&cropY2=578
509,Randall,Rollins,86,4.3 BUSD,Not Available,Service  ==> pest control,United States,https://specials-images.forbesimg.com/imageserve/c71620af40d526c7e992f006ce03dc6f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=126&cropY2=870
510,Alejandro,Santo domingo,41,4.3 BUSD,Not Available,Food and Beverage  ==> beer,United States,https://specials-images.forbesimg.com/imageserve/59d7b38a31358e542c036a6c/416x416.jpg?background=000000&cropX1=234&cropX2=1182&cropY1=220&cropY2=1168
511,Andres,Santo domingo,40,4.3 BUSD,Not Available,Food and Beverage  ==> beer,United States,https://specials-images.forbesimg.com/imageserve/59d7b57c31358e542c036ac3/416x416.jpg?background=000000&cropX1=1245&cropX2=2367&cropY1=124&cropY2=1246
512,Pham,Vuong,49,4.3 BUSD,Not Available,Diversified  ==> diversified,Vietnam,https://specials-images.forbesimg.com/imageserve/5a8139ee4bbe6f2652f546ef/416x416.jpg?background=000000&cropX1=1139&cropX2=2029&cropY1=12&cropY2=901
513,Roger,Wang,69,4.3 BUSD,Not Available,Fashion & Retail  ==> retail,United States,https:http://specials-images.forbesimg.com/imageserve/55faac1de4b0ffa7afe4aeac/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=23&cropY2=767
514,Stephen,Bisciotti,58,4.2 BUSD,Male,"Sports  ==> staffing, Baltimore Ravens",United States,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
515,Austen,Cargill,67,4.2 BUSD,Not Available,Food and Beverage  ==> Cargill,United States,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
516,James,Cargill,69,4.2 BUSD,Male,Food and Beverage  ==> Cargill,United States,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
517,Archie,Emmerson,89,4.2 BUSD,Male,"Manufacturing  ==> timberland, lumber mills",United States,https:http://specials-images.forbesimg.com/imageserve/b0fbe22d9c0799e3c6bb9ca811c78752/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=37&cropY2=637
518,Antti,Herlin,61,4.2 BUSD,Male,"Manufacturing  ==> elevators, escalators",Finland,https://specials-images.forbesimg.com/imageserve/956147a56d019eb6687c1186da18dab1/416x416.jpg?background=000000&cropX1=3&cropX2=597&cropY1=6&cropY2=601
519,Sumet,Jiaravanon,83,4.2 BUSD,Male,Diversified  ==> diversified,Thailand,https://specials-images.forbesimg.com/imageserve/956147a56d019eb6687c1186da18dab1/416x416.jpg?background=000000&cropX1=3&cropX2=597&cropY1=6&cropY2=601
520,Lars,Larsen,69,4.2 BUSD,Male,Fashion & Retail  ==> retail,Denmark,https://specials-images.forbesimg.com/imageserve/5a7dd8914bbe6f2652f51def/416x416.jpg?background=000000&cropX1=2108&cropX2=4222&cropY1=0&cropY2=2115
521,Marianne,Liebmann,64,4.2 BUSD,Female,Food and Beverage  ==> Cargill,United States,https://specials-images.forbesimg.com/imageserve/5a7dd8914bbe6f2652f51def/416x416.jpg?background=000000&cropX1=2108&cropX2=4222&cropY1=0&cropY2=2115
522,Bobby,Murphy,28,4.2 BUSD,Not Available,Technology  ==> Snapchat,United States,https://specials-images.forbesimg.com/imageserve/59dbed78a7ea436b47b39fbd/416x416.jpg?background=000000&cropX1=616&cropX2=2174&cropY1=471&cropY2=2030
523,Igor,Olenicoff,75,4.2 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/55faa6b6e4b0ffa7afe4ae7b/416x416.jpg?background=000000&cropX1=155&cropX2=653&cropY1=18&cropY2=516
524,Walter,Scott,87,4.2 BUSD,Not Available,"Energy  ==> utilities, telecom",United States,https:http://specials-images.forbesimg.com/imageserve/57e072e5a7ea430a8a1a07ba/416x416.jpg?background=000000&cropX1=135&cropX2=744&cropY1=37&cropY2=646
525,Clemmie,Spangler,86,4.2 BUSD,Male,Finance and Investments  ==> investments,USA,https://specials-images.forbesimg.com/imageserve/84531a01ca8f3d559caa46d711a72e4a/416x416.jpg?background=000000&cropX1=0&cropX2=1308&cropY1=204&cropY2=1511
526,Wang,Wang,54,4.2 BUSD,Not Available,Energy  ==> natural gas distribution,China,https://specials-images.forbesimg.com/imageserve/05c3ca170797cbffcf1675e9b083200f/416x416.jpg?background=000000&cropX1=48&cropX2=715&cropY1=8&cropY2=675
527,Carl,Bennet,66,4.1 BUSD,Male,Finance and Investments  ==> investments,Sweden,https://specials-images.forbesimg.com/imageserve/6248eb20b6c73f87e3007caee7047f26/416x416.jpg?background=000000&cropX1=71&cropX2=744&cropY1=0&cropY2=674
528,Arthur,Blank,75,4.1 BUSD,Male,Sports  ==> Home Depot,United States,https://specials-images.forbesimg.com/imageserve/af4ef0ebe7642629324ad254a854273f/416x416.jpg?background=000000&cropX1=143&cropX2=660&cropY1=19&cropY2=536
529,Jaran,Chiaravanont,88,4.1 BUSD,Male,Diversified  ==> diversified,Thailand,https://specials-images.forbesimg.com/imageserve/af4ef0ebe7642629324ad254a854273f/416x416.jpg?background=000000&cropX1=143&cropX2=660&cropY1=19&cropY2=536
530,Jack,Dangermond,72,4.1 BUSD,Male,Technology  ==> mapping software,United States,https://specials-images.forbesimg.com/imageserve/59dbd0f94bbe6f37dda034e6/416x416.jpg?background=000000&cropX1=168&cropX2=740&cropY1=28&cropY2=600
531,Fan,Fan,51,4.1 BUSD,Female,Energy  ==> petrochemicals,China,https://specials-images.forbesimg.com/imageserve/59dbd0f94bbe6f37dda034e6/416x416.jpg?background=000000&cropX1=168&cropX2=740&cropY1=28&cropY2=600
532,John,Gandel,83,4.1 BUSD,Male,Real Estate  ==> shopping malls,Australia,https://specials-images.forbesimg.com/imageserve/5a7a57e0a7ea43169012d964/416x416.jpg?background=000000&cropX1=264&cropX2=2195&cropY1=135&cropY2=2067
533,James,Jannard,69,4.1 BUSD,Male,Fashion & Retail  ==> sunglasses,United States,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
534,Montri,Jiaravanont,87,4.1 BUSD,Male,Diversified  ==> diversified,Thailand,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
535,Samuel,Lee,79,4.1 BUSD,Not Available,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
536,Pawan,Munjal,64,4.1 BUSD,Male,Automotive  ==> motorcycles,India,https://specials-images.forbesimg.com/imageserve/57d8876631358e16c5898f96/416x416.jpg?background=000000&cropX1=253&cropX2=672&cropY1=137&cropY2=556
537,Axel,Oberwelland,51,4.1 BUSD,Male,Food and Beverage  ==> candy,Germany,https://specials-images.forbesimg.com/imageserve/57d8876631358e16c5898f96/416x416.jpg?background=000000&cropX1=253&cropX2=672&cropY1=137&cropY2=556
538,James,Packer,50,4.1 BUSD,Not Available,Gambling & Casinos  ==> casinos,Australia,https://specials-images.forbesimg.com/imageserve/5a7a56f7a7ea43169012d94d/416x416.jpg?background=000000&cropX1=0&cropX2=2768&cropY1=11&cropY2=2781
539,Isaac,Perlmutter,75,4.1 BUSD,Male,Media & Entertainment  ==> Marvel comics,United States,https://specials-images.forbesimg.com/imageserve/58d533e431358e1a35ad984c/416x416.jpg?background=000000&cropX1=508&cropX2=1473&cropY1=61&cropY2=1025
540,H.,Perot,87,4.1 BUSD,Male,"Diversified  ==> computer services, real estate",USA,https://specials-images.forbesimg.com/imageserve/03c7983498df0671293104187649f1c0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
541,Michael,Pieper,72,4.1 BUSD,Male,Manufacturing  ==> kitchen appliances,Switzerland,https://specials-images.forbesimg.com/imageserve/82baa7f5ff8103ce920683e17948b55c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762
542,Thomas,Pritzker,68,4.1 BUSD,Male,"Finance and Investments  ==> hotels, investments",United States,https://specials-images.forbesimg.com/imageserve/7dd7043c48edb3bd30804e026ddab444/416x416.jpg?background=000000&cropX1=142&cropX2=743&cropY1=308&cropY2=909
543,Julian,Robertson,85,4.1 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/59d7ee3131358e542c036e4e/416x416.jpg?background=000000&cropX1=108&cropX2=651&cropY1=109&cropY2=652
544,Renzo,Rosso,62,4.1 BUSD,Male,Fashion & Retail  ==> fashion,Italy,https://specials-images.forbesimg.com/imageserve/5a7f9efb31358e4955ad1eb9/416x416.jpg?background=000000&cropX1=114&cropX2=1523&cropY1=57&cropY2=1466
545,Hussain,Sajwani,65,4.1 BUSD,Male,Real Estate  ==> real estate,United Arab Emirates,https://specials-images.forbesimg.com/imageserve/56d06a93e4b0c144a7f64a47/416x416.jpg?background=000000&cropX1=10&cropX2=744&cropY1=39&cropY2=774
546,Yasumitsu,Shigeta,53,4.1 BUSD,Male,Telecom  ==> mobile phone retailer,Japan,https://specials-images.forbesimg.com/imageserve/5ac2512f31358e4112b68a20/416x416.jpg?background=000000&cropX1=9&cropX2=1413&cropY1=9&cropY2=1413
547,Evan,Spiegel,27,4.1 BUSD,Male,Technology  ==> Snapchat,United States,https://specials-images.forbesimg.com/imageserve/59162afb31358e03e5590bd9/416x416.jpg?background=000000&cropX1=1011&cropX2=4726&cropY1=32&cropY2=3744
548,Wang,Wang,45,4.1 BUSD,Not Available,Technology  ==> e-commerce,China,https://specials-images.forbesimg.com/imageserve/5a7d03fba7ea431690130d98/416x416.jpg?background=000000&cropX1=101&cropX2=561&cropY1=90&cropY2=549
549,Kelcy,Warren,62,4.1 BUSD,Male,Energy  ==> pipelines,United States,https://specials-images.forbesimg.com/imageserve/59d7eab04bbe6f37dda020cf/416x416.jpg?background=000000&cropX1=2496&cropX2=3723&cropY1=163&cropY2=1389
550,Ben,Ashkenazy,48,4.0 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975
551,Ursula,Bechtolsheimer-kipp,0,4.0 BUSD,Female,Real Estate  ==> retail,Germany,https://specials-images.forbesimg.com/imageserve/5a7e5aff31358e4955ad13b7/416x416.jpg?background=000000&cropX1=18&cropX2=775&cropY1=120&cropY2=877
552,Otto,Braun,40,4.0 BUSD,Male,Healthcare  ==> medical technology,Germany,https://specials-images.forbesimg.com/imageserve/5a68e7774bbe6f2652f37a75/416x416.jpg?background=000000&cropX1=165&cropX2=813&cropY1=30&cropY2=679
553,Che,Che,51,4.0 BUSD,Male,Fashion & Retail  ==> furniture retailing,China,https://specials-images.forbesimg.com/imageserve/589ce0f74bbe6f0e55866685/416x416.jpg?background=000000&cropX1=72&cropX2=744&cropY1=0&cropY2=672
554,Dagmar,Dolby,76,4.0 BUSD,Female,Technology  ==> Dolby Laboratories,United States,https://specials-images.forbesimg.com/imageserve/59d7fbac4bbe6f37dda021cd/416x416.jpg?background=000000&cropX1=0&cropX2=838&cropY1=669&cropY2=1506
555,Traudl,Engelhorn,91,4.0 BUSD,Female,"Healthcare  ==> pharmaceuticals, medical equipment",Germany,https://specials-images.forbesimg.com/imageserve/5a7e56414bbe6f2652f529b3/416x416.jpg?background=000000&cropX1=116&cropX2=1016&cropY1=250&cropY2=1150
556,Dan,Friedkin,53,4.0 BUSD,Not Available,Automotive  ==> Toyota dealerships,United States,https://specials-images.forbesimg.com/imageserve/5a8dd78231358e4955adfbaa/416x416.jpg?background=000000&cropX1=0&cropX2=2168&cropY1=356&cropY2=2525
557,Sergei,Galitsky,50,4.0 BUSD,Male,Fashion & Retail  ==> retail,Russia,https://specials-images.forbesimg.com/imageserve/5a80b5184bbe6f2652f54002/416x416.jpg?background=000000&cropX1=1003&cropX2=2987&cropY1=9&cropY2=1994
558,Huang,Huang,66,4.0 BUSD,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/b8f39daf7c442a93e854518a273084a2/416x416.jpg?background=000000&cropX1=69&cropX2=716&cropY1=142&cropY2=790
559,Erman,Ilicak,50,4.0 BUSD,Not Available,Construction & Engineering  ==> construction,Turkey,https://specials-images.forbesimg.com/imageserve/58b73d2f4bbe6f0e5587d21e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775
560,Ronald,Lauder,74,4.0 BUSD,Not Available,Fashion & Retail  ==> Estee Lauder,United States,https://specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317
561,Michel,Leclercq,79,4.0 BUSD,Male,Fashion & Retail  ==> sporting goods,France,https://specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317
562,Michael,Moritz,63,4.0 BUSD,Male,Technology  ==> venture capital,United States,https://specials-images.forbesimg.com/imageserve/59dbd8bba7ea436b47b39d44/416x416.jpg?background=000000&cropX1=1200&cropX2=3680&cropY1=80&cropY2=2559
563,Issad,Rebrab,74,4.0 BUSD,Male,Food and Beverage  ==> food,Algeria,https://specials-images.forbesimg.com/imageserve/5a7a210fa7ea43169012d507/416x416.jpg?background=000000&cropX1=523&cropX2=2140&cropY1=10&cropY2=1626
564,Naguib,Sawiris,64,4.0 BUSD,Male,Telecom  ==> telecom,Egypt,https://specials-images.forbesimg.com/imageserve/5a7dddd44bbe6f2652f51ec1/416x416.jpg?background=000000&cropX1=5&cropX2=2447&cropY1=21&cropY2=2464
565,Richard,Schulze,77,4.0 BUSD,Not Available,Fashion & Retail  ==> Best Buy,USA,https:http://specials-images.forbesimg.com/imageserve/1423046948c12a11b7b90939845786aa/416x416.jpg?background=000000&cropX1=245&cropX2=1029&cropY1=108&cropY2=892
566,B.r.,Shetty,76,4.0 BUSD,Male,Healthcare  ==> healthcare,India,https://specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741
567,Jeff,Sutton,58,4.0 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741
568,Tony,Tan caktiong,65,4.0 BUSD,Male,Food and Beverage  ==> food,Philippines,https://specials-images.forbesimg.com/imageserve/599b5d1b4bbe6f5997f04310/416x416.jpg?background=000000&cropX1=783&cropX2=3434&cropY1=17&cropY2=2667
569,Yu,Yu,52,4.0 BUSD,Male,Logistics  ==> package delivery,China,https://specials-images.forbesimg.com/imageserve/5a7d1bc14bbe6f2652f51217/416x416.jpg?background=000000&cropX1=15&cropX2=1937&cropY1=258&cropY2=2180
570,Zhang,Zhang,70,4.0 BUSD,Male,Metals & Mining  ==> aluminum,China,https://specials-images.forbesimg.com/imageserve/5a8dfe16a7ea4316901410ad/416x416.jpg?background=000000&cropX1=701&cropX2=2810&cropY1=5&cropY2=2112
571,Zhang,Zhang,33,4.0 BUSD,Male,Technology  ==> software,China,https://specials-images.forbesimg.com/imageserve/5a7d250aa7ea431690130ede/416x416.jpg?background=000000&cropX1=1389&cropX2=2538&cropY1=771&cropY2=1919
