Position,Worth,Name,Age,Source,Country,Gender_cat
111,13.0 BUSD,Alain Wertheimer,69,Fashion & Retail  ==> Chanel,France,Not Available
112,13.0 BUSD,Gerard Wertheimer,67,Fashion & Retail  ==> Chanel,None,Male
113,12.9 BUSD,Leonard Lauder,81,Fashion & Retail  ==> Estee Lauder,United States,Male
114,12.9 BUSD,Heinz Hermann Thiele,77,Construction & Engineering  ==> brakes,Germany,Male
115,12.8 BUSD,Dilip Shanghvi,62,Healthcare  ==> pharmaceuticals,India,Male
116,12.7 BUSD,Hasso Plattner,74,Technology  ==> software,None,Male
117,12.6 BUSD,Stephen Schwarzman,71,Finance and Investments  ==> investments,United States,Male
118,12.5 BUSD,Lei Jun,48,Technology  ==> smartphones,None,Not Available
119,12.5 BUSD,Hans Rausing,92,Manufacturing  ==> packaging,None,Male
120,12.5 BUSD,Alisher Usmanov,64,"Metals & Mining  ==> steel, telecom, investments",None,Male
121,12.3 BUSD,Donald Newhouse,88,Media & Entertainment  ==> media,United States,Male
122,12.2 BUSD,Peter Woo,71,Real Estate  ==> real estate,None,Not Available
123,12.1 BUSD,Luis Carlos Sarmiento,85,Finance and Investments  ==> banking,None,Male
124,12.0 BUSD,Robin Li,49,Technology  ==> internet search,China,Male
125,12.0 BUSD,Carlos Alberto Sicupira,70,Food and Beverage  ==> beer,None,Male
126,11.9 BUSD,Seo Jung-Jin,60,Healthcare  ==> biotech,South Korea,Male
127,11.8 BUSD,Kumar Birla,51,Diversified  ==> commodities,None,Male
128,11.8 BUSD,Alexander Otto,50,Real Estate  ==> real estate,Germany,Male
129,11.8 BUSD,Stefano Pessina,77,Fashion & Retail  ==> drugstores,Italy,Not Available
130,11.7 BUSD,Udo & Harald Tschira,62,Technology  ==> software,Germany,Not Available
131,11.7 BUSD,Wang Wenyin,50,"Metals & Mining  ==> mining, copper products",China,Not Available
132,11.6 BUSD,Andrew Beal,65,"Finance and Investments  ==> banks, real estate",United States,Male
133,11.6 BUSD,Lee Man Tat,88,"Food and Beverage  ==> Oyster sauce, real estate",Hong Kong,Male
134,11.5 BUSD,"John Menard, Jr.",78,Fashion & Retail  ==> home improvement stores,None,Male
135,11.3 BUSD,Xu Shihui,60,"Food and Beverage  ==> snacks, beverages",None,Male
136,11.3 BUSD,Zhou Hongyi,47,Technology  ==> security software,None,Male
137,11.2 BUSD,Gong Hongjia,53,Finance and Investments  ==> video surveillance,None,Male
138,11.0 BUSD,Michael Otto,75,"Fashion & Retail  ==> retail, real estate",None,Not Available
139,11.0 BUSD,David Tepper,60,Finance and Investments  ==> hedge funds,None,Not Available
140,10.8 BUSD,Roman Abramovich,51,"Diversified  ==> steel, investments",None,Male
141,10.8 BUSD,Liu Qiangdong,43,Technology  ==> e-commerce,None,Not Available
142,10.8 BUSD,Robert & Philip Ng,62,Real Estate  ==> real estate,None,Male
143,10.7 BUSD,Alberto Bailleres Gonzalez,86,Metals & Mining  ==> mining,None,Male
144,10.7 BUSD,Uday Kotak,59,Finance and Investments  ==> banking,None,Not Available
145,10.5 BUSD,Pierre Omidyar,51,Technology  ==> eBay,United States,Male
146,10.3 BUSD,Walter P.J. Droege,65,Service  ==> consulting,None,Male
147,10.2 BUSD,Dietmar Hopp,78,Technology  ==> software,None,Male
148,10.1 BUSD,Graeme Hart,63,Finance and Investments  ==> investments,New Zealand,Not Available
149,10.1 BUSD,Eduardo Saverin,35,Technology  ==> Facebook,Brazil,Male
150,10.1 BUSD,Yan Zhi,45,Real Estate  ==> real estate,None,Male
151,10.0 BUSD,Radhakishan Damani,63,"Finance and Investments  ==> investments, retail",None,Not Available
152,9.8 BUSD,German Khan,56,"Energy  ==> oil, banking, telecom",Russia,Not Available
153,9.8 BUSD,Ronald Perelman,75,Finance and Investments  ==> leveraged buyouts,United States,Male
154,9.7 BUSD,Gautam Adani,56,"Diversified  ==> commodities, ports",None,Not Available
155,9.7 BUSD,Micky Arison,68,Service  ==> Carnival Cruises,United States,Male
156,9.7 BUSD,Pan Zhengmin,48,Technology  ==> electronics,China,Male
157,9.7 BUSD,Joseph Tsai,54,Technology  ==> e-commerce,Canada,Not Available
158,9.6 BUSD,"Thomas Frist, Jr.",79,Healthcare  ==> health care,United States,Male
159,9.6 BUSD,Mikhail Prokhorov,53,Finance and Investments  ==> investments,Russia,Male
160,9.5 BUSD,Galen Weston,77,Fashion & Retail  ==> retail,Canada,Not Available
