,position,name,country,worth,image
119,68,Takemitsu Takizaki,Japan,17500.0,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860
120,69,William Ding,China,17400.0,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063
121,70,R. Budi Hartono,Indonesia,17400.0,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
122,71,Gina Rinehart,Australia,17400.0,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995
123,72,German Larrea Mota Velasco,Mexico,17300.0,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069
124,73,Carl Icahn,United States,16800.0,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744
125,74,Stefan Persson,Sweden,16800.0,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
126,75,Michael Hartono,Indonesia,16700.0,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
127,76,Joseph Lau,Hong Kong,16700.0,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033
128,77,Thomas & Raymond Kwok,Hong Kong,16500.0,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915
