id,lastName,age,Unnamed: 0_x,gender,country,image,Unnamed: 0_y,Source,worth,worthChange,realTimeWorth,realTimePosition,name,position,Unnamed: 0
7453,SCHAEFFLER,53 years old,82,M,None,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,82,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40,georG SCHAEFFLer,31.0,82
1720,klATTEn,56 years old,83,None,None,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,83,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38,susanNE KLATTen,32.0,83
5066,thOMSOn,61 years old,84,None,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,84,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32,daVID THOmson,33.0,84
6374,maRS,78 years old,85,F,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,85,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34,jaCQUELINE MARs,34.0,85
2424,MARS,82 years old,86,M,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,86,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,35,jOHN MARS,35.0,86
9363,sAFRA,79 years old,87,M,None,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,87,Finance and Investments  ==> banking,23.5 BUSD,0.0 millions USD,,53,joSEPH SAFra,36.0,87
2313,feRREro,53 years old,88,None,None,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,88,"Food and Beverage  ==> Nutella, chocolates",23.0 BUSD,0.0 millions USD,,43,giovaNNI FERREro,37.0,88
5633,mateSCHItz,74 years old,89,M,None,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,89,Food and Beverage  ==> Red Bull,23.0 BUSD,0.0 millions USD,,33,dietRICH MATESCHItz,38.0,89
9371,DELL,53 years old,90,M,United States,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,90,Technology  ==> Dell computers,22.7 BUSD,0.0 millions USD,,36,micHAEL DELl,39.0,90
9720,SON,60 years old,91,M,None,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,91,"Telecom  ==> internet, telecom",22.7 BUSD,0.0 millions USD,,42,mASAYOSHI son,40.0,91
3860,daSSAULT,93 years old,92,None,None,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,92,Diversified  ==> diversified,22.6 BUSD,nan millions USD,,42,seRGE DASSAULT,41.0,92
8717,QUANDT,52 years old,93,None,Germany,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,93,Automotive  ==> BMW,22.0 BUSD,0.0 millions USD,,51,STEFAN QUandt,42.0,93
4061,yaNG,1983,94,F,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,94,Real Estate  ==> real estate,21.9 BUSD,0.0 millions USD,,31,yang HUiyan,43.0,94
4607,alLEN,65 years old,95,M,None,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,95,"Technology  ==> Microsoft, investments",21.7 BUSD,0.0 millions USD,,49,PAUL ALLEn,44.0,95
4134,deL VECchio,83 years old,96,M,None,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,96,Fashion & Retail  ==> eyeglasses,21.2 BUSD,0.006 millions USD,,39,LEONARDO DEL Vecchio,45.0,96
5446,schWARZ,78 years old,97,M,None,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,97,Fashion & Retail  ==> retail,20.9 BUSD,0.0 millions USD,,79,dieTER SCHWArz,46.0,97
6816,pETERFFy,73 years old,98,M,United States,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,98,Finance and Investments  ==> discount brokerage,20.3 BUSD,0.0 millions USD,,41,thoMAS PETERFfy,47.0,98
8745,albrECht,67 years old,99,None,None,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,99,"Fashion & Retail  ==> Aldi, Trader Joe's",20.2 BUSD,0.0 millions USD,,54,"theo albrECHT, JR.",48.0,99
9320,blaVATNIK,61 years old,100,None,United States,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,100,Diversified  ==> diversified,20.2 BUSD,-0.001 millions USD,,44,len BLAVATNik,49.0,100
1099,HE,75 years old,101,M,None,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,101,Manufacturing  ==> home appliances,20.1 BUSD,0.001 millions USD,,47,he XIANGJIan,50.0,101
9051,LUI,89 years old,102,M,None,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,102,Gambling & Casinos  ==> casinos,20.1 BUSD,0.0 millions USD,,46,lui CHE WOo,51.0,102
5751,simONs,80 years old,103,M,None,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,103,Finance and Investments  ==> hedge funds,20.0 BUSD,0.0 millions USD,,50,jamES SIMOns,52.0,103
1146,SY,93 years old,104,M,None,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,104,Diversified  ==> diversified,20.0 BUSD,0.0 millions USD,,67,hENRY SY,53.0,104
8968,mUSK,46 years old,105,None,USA,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,105,Automotive  ==> Tesla Motors,19.9 BUSD,0.0 millions USD,,45,ELON MUsk,54.0,105
3450,hiNDUJa,,106,M,None,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165,106,Diversified  ==> diversified,19.5 BUSD,0.001 millions USD,,61,HINDUJA Family,55.0,106
5827,YANAi,69 years old,107,None,None,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501,107,Fashion & Retail  ==> fashion retail,19.5 BUSD,0.0 millions USD,,37,tADASHI YAnai,56.0,107
9131,lISIN,62 years old,108,Male,None,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,108,"Metals & Mining  ==> steel, transport",19.1 BUSD,0.0 millions USD,,52,vladIMIR LISIN,57.0,108
8944,pOWELL Jobs,54 years old,109,Female,United States,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,109,"Philanthropy/NGO  ==> Apple, Disney",18.8 BUSD,0.0 millions USD,,48,laURENE POWell jobs,58.0,109
