ID,Position,Worth,First Name,Last Name,Age,Gender_cat,Source,Country,Image,Nationality,name,country
6521,1621,1.5 BUSD,Jorge,Rodriguez rodriguez,72,Male,Diversified  ==> processed milk,Peru,https://specials-images.forbesimg.com/imageserve/5a90888d31358e79a28a1e6e/416x416.jpg?background=000000&cropX1=445&cropX2=1670&cropY1=514&cropY2=1740,,Jorge Rodriguez Rodriguez,Peru
9374,1622,1.5 BUSD,Nobutada,Saji,72,Male,Food and Beverage  ==> beverages,Japan,https://specials-images.forbesimg.com/imageserve/5a90888d31358e79a28a1e6e/416x416.jpg?background=000000&cropX1=445&cropX2=1670&cropY1=514&cropY2=1740,,Nobutada Saji,Japan
9223,1623,1.5 BUSD,Thomas,Sandell,57,Male,Finance and Investments  ==> hedge funds,Sweden,https://specials-images.forbesimg.com/imageserve/5a8122254bbe6f2652f545fc/416x416.jpg?background=000000&cropX1=371&cropX2=2617&cropY1=423&cropY2=2667,,Thomas Sandell,Sweden
1719,1624,1.5 BUSD,Eddy,Sariaatmadja,64,Male,"Media & Entertainment  ==> media, tech",Indonesia,https://specials-images.forbesimg.com/imageserve/c0595e2f11ba258f473ee7a8b10aef0d/416x416.jpg?background=000000&cropX1=3&cropX2=520&cropY1=37&cropY2=554,,Eddy Kusnadi Sariaatmadja,Indonesia
1076,1625,1.5 BUSD,Fayez,Sarofim,89,Male,Finance and Investments  ==> money management,USA,https://specials-images.forbesimg.com/imageserve/5a907e0c31358e79a28a1d20/416x416.jpg?background=000000&cropX1=313&cropX2=1684&cropY1=201&cropY2=1572,,Fayez Sarofim,United States
9698,1626,1.5 BUSD,Monika,Schoeller,79,Female,Media & Entertainment  ==> publishing,Germany,https://specials-images.forbesimg.com/imageserve/a91e8fae900cf6fb90ad6202e1a7c387/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=23&cropY2=766,,Monika Schoeller,Germany
8520,1627,1.5 BUSD,Antonio,Seabra,75,Male,Fashion & Retail  ==> cosmetics,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b7bc2a7ea43169012ee41/416x416.jpg?background=000000&cropX1=914&cropX2=3583&cropY1=0&cropY2=2667,,Antonio Luiz Seabra,Brazil
2593,1628,1.5 BUSD,Yuri,Shefler,50,Male,Food and Beverage  ==> alcohol,Russia,https://specials-images.forbesimg.com/imageserve/58a39a6831358e1a35ab6459/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750,,Yuri Shefler,Russia
9687,1629,1.5 BUSD,Rajju,Shroff,84,Not Available,Manufacturing  ==> agrochemicals,India,https://specials-images.forbesimg.com/imageserve/58acbbeca7ea431f3219ea0a/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743,,Rajju Shroff,India
1290,1630,1.5 BUSD,Frank,Stronach,85,Male,Automotive  ==> auto parts,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba8634bbe6f2652f4f2f0/416x416.jpg?background=000000&cropX1=484&cropX2=2866&cropY1=6&cropY2=2389,,Frank Stronach,Canada
5847,1631,1.5 BUSD,Kevin,Systrom,33,Not Available,Technology  ==> Instagram,United States,https://specials-images.forbesimg.com/imageserve/58c1a2eba7ea431f321ad96b/416x416.jpg?background=000000&cropX1=63&cropX2=733&cropY1=13&cropY2=683,,Kevin Systrom,United States
1254,1632,1.5 BUSD,Tang,Tang,95,Not Available,"Manufacturing  ==> textiles, electronics",Hong Kong,https://specials-images.forbesimg.com/imageserve/2c9342e6b6c03eec93a23ec68d9abad9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791,,Tang Hsiang-chien,Hong Kong
1311,1633,1.5 BUSD,Tang,Tang,0,Female,Food and Beverage  ==> packaged foods,China,https://specials-images.forbesimg.com/imageserve/2c9342e6b6c03eec93a23ec68d9abad9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791,,Tang Jianfang,China
